datetime,open,high,low,close,tick_volume,spread
22-03-2023 16:30:00,1.07922,1.08002,1.0789,1.07987,560,5
22-03-2023 17:00:00,1.07985,1.07995,1.07902,1.07903,484,5
22-03-2023 17:30:00,1.07903,1.07968,1.07895,1.07934,1011,5
22-03-2023 18:00:00,1.07931,1.08585,1.07921,1.08519,8470,5
22-03-2023 18:30:00,1.08521,1.09121,1.08376,1.08804,11900,5
22-03-2023 19:00:00,1.08802,1.08924,1.08524,1.0892,8243,5
22-03-2023 19:30:00,1.08918,1.08924,1.08593,1.08652,3039,5
22-03-2023 20:00:00,1.0865,1.08654,1.08544,1.08552,701,5
22-03-2023 20:30:00,1.08554,1.08616,1.08526,1.08536,374,5
22-03-2023 21:00:00,1.08547,1.08578,1.08547,1.08576,50,25
22-03-2023 21:30:00,1.08577,1.08581,1.08567,1.0858,38,25
22-03-2023 22:00:00,1.08585,1.08632,1.08568,1.08615,240,25
22-03-2023 22:30:00,1.08617,1.0863,1.0856,1.08576,134,6
22-03-2023 23:00:00,1.08577,1.0868,1.08577,1.08657,286,6
22-03-2023 23:30:00,1.08655,1.08715,1.08647,1.08686,279,6
23-03-2023 00:00:00,1.08688,1.08749,1.08683,1.08729,678,5
23-03-2023 00:30:00,1.08731,1.08834,1.0872,1.08833,747,5
23-03-2023 01:00:00,1.0883099999999999,1.08852,1.08789,1.08797,746,5
23-03-2023 01:30:00,1.08795,1.0888,1.08792,1.08862,631,5
23-03-2023 02:00:00,1.08863,1.0892,1.08819,1.0890900000000001,626,5
23-03-2023 02:30:00,1.0891,1.08987,1.08895,1.08955,670,5
23-03-2023 03:00:00,1.0895299999999999,1.09053,1.08929,1.08966,857,5
23-03-2023 03:30:00,1.08963,1.0902,1.08962,1.09007,539,5
23-03-2023 04:00:00,1.09005,1.09012,1.08948,1.09012,390,5
23-03-2023 04:30:00,1.09011,1.0904,1.08975,1.09035,353,5
23-03-2023 05:00:00,1.09033,1.09108,1.09018,1.09097,679,5
23-03-2023 05:30:00,1.09096,1.09112,1.09033,1.09044,688,5
23-03-2023 06:00:00,1.09045,1.09295,1.09033,1.09238,1277,5
23-03-2023 06:30:00,1.09236,1.09266,1.09138,1.09148,1078,5
23-03-2023 07:00:00,1.0915,1.09266,1.091,1.09237,1848,5
23-03-2023 07:30:00,1.09239,1.0924,1.08999,1.09059,1449,5
23-03-2023 08:00:00,1.0906,1.09101,1.0892,1.08934,1844,5
23-03-2023 08:30:00,1.08936,1.09089,1.0890900000000001,1.08995,1908,5
23-03-2023 09:00:00,1.08996,1.09033,1.08827,1.08854,1752,5
23-03-2023 09:30:00,1.08853,1.08886,1.08805,1.08854,1233,5
23-03-2023 10:00:00,1.08854,1.08855,1.08666,1.08689,1300,5
23-03-2023 10:30:00,1.08689,1.08786,1.08686,1.0877,980,5
23-03-2023 11:00:00,1.08767,1.088,1.08701,1.08749,1058,5
23-03-2023 11:30:00,1.08746,1.08784,1.08696,1.08755,884,5
