,datetime,open,open_spread,unreal_pnl,nav,sum_cf
7224,2023-08-11 16:30:00,1914.741,1914.866,-6971.34,4915.58,10886.92
7225,2023-08-11 17:00:00,1914.317,1914.442,-7013.74,4873.18,10886.92
7226,2023-08-11 17:30:00,1914.283,1914.408,-7017.14,4869.78,10886.92
7227,2023-08-11 18:00:00,1913.251,1913.376,-7120.34,4766.58,10886.92
7228,2023-08-11 18:30:00,1913.388,1913.513,-7106.64,4780.28,10886.92
7229,2023-08-11 19:00:00,1913.393,1913.518,-7106.13,4780.78,10886.92
7230,2023-08-11 19:30:00,1912.932,1913.057,-7152.24,4734.68,10886.92
7231,2023-08-11 20:00:00,1913.554,1913.679,-7090.03,4796.88,10886.92
7232,2023-08-11 20:30:00,1913.313,1913.438,-7114.13,4772.78,10886.92
7233,2023-08-13 22:00:00,1913.703,1913.828,-7075.13,4811.78,10886.92
7234,2023-08-13 22:30:00,1914.745,1914.87,-6970.94,4915.98,10886.92
7235,2023-08-13 23:00:00,1913.704,1913.829,-7075.04,4811.88,10886.92
7236,2023-08-13 23:30:00,1914.208,1914.333,-7024.63,4862.28,10886.92
7237,2023-08-14 00:00:00,1913.657,1913.782,-7079.74,4807.18,10886.92
7238,2023-08-14 00:30:00,1911.346,1911.471,-7310.83,4576.08,10886.92
7239,2023-08-14 01:00:00,1911.027,1911.152,-7342.73,4544.18,10886.92
7240,2023-08-14 01:30:00,1910.975,1911.1,-7347.94,4538.98,10886.92
7241,2023-08-14 02:00:00,1911.517,1911.642,-7293.73,4593.18,10886.92
7242,2023-08-14 02:30:00,1911.466,1911.591,-7298.84,4588.08,10886.92
7243,2023-08-14 03:00:00,1911.979,1912.104,-7247.53,4639.38,10886.92
7244,2023-08-14 03:30:00,1912.586,1912.711,-7186.83,4700.08,10886.92
7245,2023-08-14 04:00:00,1912.732,1912.857,-7172.24,4714.68,10886.92
7246,2023-08-14 04:30:00,1912.9,1913.025,-7155.43,4731.48,10886.92
7247,2023-08-14 05:00:00,1912.401,1912.526,-7205.33,4681.58,10886.92
7248,2023-08-14 05:30:00,1913.712,1913.837,-7074.23,4812.68,10886.92
7249,2023-08-14 06:00:00,1912.907,1913.032,-7154.74,4732.18,10886.92
7250,2023-08-14 06:30:00,1913.203,1913.328,-7125.13,4761.78,10886.92
7251,2023-08-14 07:00:00,1912.052,1912.177,-7240.24,4646.68,10886.92
7252,2023-08-14 07:30:00,1912.086,1912.211,-7236.83,4650.08,10886.92
7253,2023-08-14 08:00:00,1914.476,1914.601,-6997.83,4889.08,10886.92
7254,2023-08-14 08:30:00,1915.137,1915.262,-6931.74,4955.18,10886.92
7255,2023-08-14 09:00:00,1914.259,1914.384,-7019.53,4867.38,10886.92
7256,2023-08-14 09:30:00,1913.407,1913.532,-7104.74,4782.18,10886.92
7257,2023-08-14 10:00:00,1913.96,1914.085,-7049.43,4837.48,10886.92
7258,2023-08-14 10:30:00,1914.767,1914.892,-6968.73,4918.18,10886.92
7259,2023-08-14 11:00:00,1914.398,1914.523,-7005.64,4881.28,10886.92
7260,2023-08-14 11:30:00,1913.776,1913.901,-7067.83,4819.08,10886.92
7261,2023-08-14 12:00:00,1913.959,1914.084,-7049.53,4837.38,10886.92
7262,2023-08-14 12:30:00,1907.578,1907.703,-7687.64,4199.28,10886.92
7263,2023-08-14 13:00:00,1910.348,1910.473,-7410.64,4476.28,10886.92
7264,2023-08-14 13:30:00,1905.531,1905.656,-7892.34,3994.58,10886.92
7265,2023-08-14 14:00:00,1904.198,1904.323,-8025.63,3861.28,10886.92
7266,2023-08-14 14:30:00,1908.008,1908.133,-7644.63,4242.28,10886.92
7267,2023-08-14 15:00:00,1908.492,1908.617,-7596.24,4290.68,10886.92
7268,2023-08-14 15:30:00,1910.044,1910.169,-7441.03,4445.88,10886.92
7269,2023-08-14 16:00:00,1910.618,1910.743,-7383.64,4503.28,10886.92
7270,2023-08-14 16:30:00,1912.296,1912.421,-7215.83,4671.08,10886.92
7271,2023-08-14 17:00:00,1911.863,1911.988,-7259.13,4627.78,10886.92
7272,2023-08-14 17:30:00,1911.979,1912.104,-7247.53,4639.38,10886.92
7273,2023-08-14 18:00:00,1910.274,1910.399,-7418.04,4468.88,10886.92
7274,2023-08-14 18:30:00,1909.23,1909.355,-7522.43,4364.48,10886.92
7275,2023-08-14 19:00:00,1908.027,1908.152,-7642.73,4244.18,10886.92
7276,2023-08-14 19:30:00,1907.329,1907.454,-7712.54,4174.38,10886.92
7277,2023-08-14 20:00:00,1907.56,1907.685,-7689.44,4197.48,10886.92
7278,2023-08-14 20:30:00,1907.731,1907.856,-7672.34,4214.58,10886.92
7279,2023-08-14 22:00:00,1907.296,1907.421,-7715.83,4171.08,10886.92
7280,2023-08-14 22:30:00,1907.718,1907.843,-7673.63,4213.28,10886.92
7281,2023-08-14 23:00:00,1907.537,1907.662,-7691.73,4195.18,10886.92
7282,2023-08-14 23:30:00,1907.251,1907.376,-7720.34,4166.58,10886.92
7283,2023-08-15 00:00:00,1907.605,1907.73,-7684.93,4201.98,10886.92
7284,2023-08-15 00:30:00,1906.258,1906.383,-7819.63,4067.28,10886.92
7285,2023-08-15 01:00:00,1907.166,1907.291,-7728.84,4158.08,10886.92
7286,2023-08-15 01:30:00,1906.493,1906.618,-7796.14,4090.78,10886.92
7287,2023-08-15 02:00:00,1906.08,1906.205,-7837.44,4049.48,10886.92
7288,2023-08-15 02:30:00,1905.808,1905.933,-7864.64,4022.28,10886.92
7289,2023-08-15 03:00:00,1906.052,1906.177,-7840.24,4046.68,10886.92
7290,2023-08-15 03:30:00,1907.031,1907.156,-7742.34,4144.58,10886.92
7291,2023-08-15 04:00:00,1907.162,1907.287,-7729.23,4157.68,10886.92
7292,2023-08-15 04:30:00,1906.839,1906.964,-7761.54,4125.38,10886.92
7293,2023-08-15 05:00:00,1906.572,1906.697,-7788.24,4098.68,10886.92
7294,2023-08-15 05:30:00,1906.062,1906.187,-7839.24,4047.68,10886.92
7295,2023-08-15 06:00:00,1905.175,1905.3,-7927.94,3958.98,10886.92
7296,2023-08-15 06:30:00,1905.278,1905.403,-7917.63,3969.28,10886.92
7297,2023-08-15 07:00:00,1904.996,1905.121,-7945.83,3941.08,10886.92
7298,2023-08-15 07:30:00,1904.658,1904.783,-7979.64,3907.28,10886.92
7299,2023-08-15 08:00:00,1904.963,1905.088,-7949.14,3937.78,10886.92
7300,2023-08-15 08:30:00,1903.797,1903.922,-8065.73,3821.18,10886.92
7301,2023-08-15 09:00:00,1904.24,1904.365,-8021.44,3865.48,10886.92
7302,2023-08-15 09:30:00,1903.902,1904.027,-8055.23,3831.68,10886.92
7303,2023-08-15 10:00:00,1904.456,1904.581,-7999.84,3887.08,10886.92
